State_id  ,YEAR  ,ANN_MEAN_TMAX,ANN_MEAN_TMEAN,ANN_MEAN_TMIN,ANN_SUM_PRECIP
'212142',1960,50.7,39.7,28.6,23.63
'212142',1961,51.9,41.2,30.6,19.11
'212142',1962,50.2,40.3,30.3,27.4
'212142',1963,52.7,42.2,31.7,21.9
'212142',1964,52.1,40.9,29.8,23.75
'212142',1965,48.4,38.4,28.3,22.99
'212142',1966,49.4,38.6,27.9,19.59
'212142',1967,50.4,39.2,27.9,16.29
'212142',1968,51.7,40.6,29.4,24.18
'212142',1969,50.4,39.4,28.5,18.75
'212142',1970,49.8,38.7,27.6,19.47
'212142',1971,50.5,39.7,28.8,26.33
'212142',1972,47.7,37.1,26.5,21.23
'212142',1973,53.6,42.7,31.8,32.94
'212142',1974,51.5,40.3,29.1,23.35
'212142',1975,49.1,39.3,29.5,28.79
'212142',1976,53.4,41.2,28.9,11.73
'212142',1977,51.3,41.4,31.4,29.29
'212142',1978,49.1,38.9,28.6,24.64
'212142',1979,47.4,37.5,27.6,25.21
'212142',1980,51.9,40.5,29.1,19.24
'212142',1981,54.2,43.8,33.4,25.24
'212142',1982,49.3,39.4,29.5,22.01
'212142',1983,51.7,42.4,33.1,36.81
'212142',1984,53.2,42.7,32.3,23.94
'212142',1985,49.7,39.6,29.4,34.66
'212142',1986,52.9,42.6,32.2,32.43
'212142',1987,56.6,45.9,35.2,21.89
'212142',1988,53.8,42.1,30.4,26.26
'212142',1989,50.4,39.3,28.1,19.77
'212142',1990,54.7,43.3,32,19.84
'212142',1991,53.2,42.8,32.4,21.59
'212142',1992,51.5,41.8,32,24.94
'212142',1993,49.3,39.1,28.9,26.76
'212142',1994,51.7,41.6,31.6,26.08
'212142',1995,50.5,40.7,30.9,26.44
'212142',1996,48.3,37.6,26.8,22.4
'212142',1997,51.1,41.1,31,31.53
'212142',1998,55,45.5,36,35.65
'212142',1999,54.9,44.7,34.5,31.17
'212142',2000,52.9,42.4,31.9,31.88
'212142',2001,53.8,43.7,33.6,27.01
'212142',2002,51,41.5,31.9,25.2
'212142',2003,51.8,41.6,31.4,20.38
'212142',2004,51.4,41.3,31.2,34.35
'212142',2005,53.9,43.8,33.7,31.21
'212142',2006,55.3,45.2,35,26.82
'212142',2007,53.5,43.5,33.3,28.52
'212142',2008,51.1,40.1,29.1,32.82
'212142',2009,50.4,40.3,30.2,24.49
'212142',2010,53.4,43.7,33.9,38.57
'212142',2011,52.8,42.5,32.3,24.21
'212142',2012,56.7,45.8,34.9,26.59
'212142',2013,49.6,40,30.4,29.16
'212142',2014,49.8,39.8,29.7,24.07
